y1	y2	y3	y4	y5
0.6128249 7.375834 2.545268 -0.1484498 -1.873927
0.9883898 7.226473 1.440375 -0.717212 -4.423775
0.2272409 6.844233 0.3435641 -0.8125066 -5.0964
1.315274 7.546225 0.4202515 -1.81566 -4.367911
0.9948413 6.716533 -1.284958 -0.4577917 -1.647003
-0.4204746 8.566194 0.3638771 0.2165547 -1.369734
-1.646918 8.078084 -0.06566667 -0.5727616 -0.6212987
-2.602906 7.945708 -2.020098 -2.190405 -1.604367
-1.942168 9.157293 -2.747277 -1.917167 -1.176852
-1.880339 8.86491 -0.1626109 0.7229113 -2.435553
0.2854187 7.45607 1.528652 3.330439 -2.364483
0.5870289 4.834779 0.4866869 1.217012 -1.747603
-0.130524 4.649496 0.6271308 1.179943 -1.779461
-0.06803772 4.078908 -0.419783 1.011886 0.3715242
0.9473058 3.672966 0.4046105 1.546867 -0.634241
0.8036607 3.72529 -0.8119573 0.8456523 0.346453
0.116152 2.925249 0.9711971 0.798377 -0.2916034
-0.4933588 1.553681 -2.028156 0.9543867 -1.137306
-0.4429518 2.068196 -2.746713 1.601928 -0.8580689
-0.7217394 2.690598 -1.20229 2.414733 -2.221754
-0.4454255 4.519419 -2.144346 1.218804 -1.540644
-0.5842461 4.21015 -0.6860991 1.689684 -1.615045
-1.523686 2.855054 1.433494 1.004557 -2.519246
0.3564176 4.897072 0.7133721 -0.7454245 -2.450633
1.651123 6.161198 0.3192548 -2.371144 -1.919929
2.687052 7.548493 -1.011917 -1.567279 -2.575376
2.820357 8.632451 -1.280979 0.06136981 -1.460649
3.519396 7.314675 -2.268752 1.431945 -2.144288
3.310569 5.77547 -1.486232 0.9879699 -1.008624
0.935113 6.178285 -1.68942 -0.01215039 0.1565593
3.198414 6.246343 -3.268784 -0.4480319 -1.555986
3.157403 4.752964 0.3322713 -1.025223 -4.140309
2.389173 5.790775 -0.3989824 1.556952 -3.462332
1.376984 5.531107 0.06863793 0.3155266 -3.778372
2.3841 6.66289 1.391927 0.3259681 -3.671002
4.558757 5.925666 1.888653 -0.2834472 -3.121929
2.581802 7.741537 -0.004567645 0.3515303 -2.911213
2.72257 8.839877 -0.2596096 0.8620466 -1.68638
2.874288 9.070047 0.4881404 0.9897348 -2.012223
4.416241 9.20862 0.4065486 3.020903 -3.311346
4.38 8.527234 1.236123 1.430038 -3.620946
2.34262 9.225306 1.352166 1.505875 -3.024296
1.698027 8.846931 0.6374445 1.268245 -1.971636
2.66328 9.427581 1.669314 -0.4462453 -2.406031
2.286488 9.456576 0.7043809 -0.1959473 -2.111637
-0.6720776 9.395428 0.15699 -0.730682 -2.615988
0.1467299 8.72038 -0.2374721 -2.043229 -3.059904
0.8098383 8.830899 -2.070267 -0.3035986 -1.672066
0.8325472 7.80143 -0.05917727 3.092141 -2.212266
1.820154 7.192004 -1.587025 2.267629 -2.91484
3.049277 8.293268 -1.744565 1.718288 -3.028984
2.355267 8.196481 -0.9698472 1.063689 -0.604339
3.694346 8.346123 -1.100122 0.9771181 0.2041225
3.479254 7.825087 -0.6461461 0.5388973 -0.7731407
2.435101 7.851041 -1.288076 -0.01313596 0.1814846
4.553279 9.177215 -0.3947309 -1.536458 1.495674
3.948525 8.028596 0.8001532 -1.15253 0.4654353
3.903816 7.409772 -1.308254 0.2385165 1.72494
4.126308 6.420489 -1.98876 1.542585 1.563825
4.180899 6.917451 -2.678302 0.009736652 0.9431596
2.964283 7.127268 -1.759924 -0.4825329 1.442371
2.471211 5.666535 -0.1307004 -0.3473419 0.7640958
2.966047 7.493077 -0.5777029 -1.071517 1.081592
2.513943 6.894048 1.215639 -1.266807 0.4626939
2.114211 6.459249 -1.585022 1.085168 -0.3597507
1.512814 5.553285 -1.524089 2.711748 1.157717
2.540615 5.730848 -0.7735641 2.834817 0.3596038
2.221327 7.56375 -0.9569963 1.158986 -1.159061
1.928841 7.608463 0.1111148 0.7714676 0.3577044
2.27367 8.079526 1.191029 1.166971 0.7022251
2.41414 6.711707 1.645737 -1.505519 0.4212395
4.893483 7.300177 0.8377968 -0.2984649 -1.420495
5.208974 7.773388 1.6503 0.9298255 -1.150258
3.625553 8.598406 2.691638 0.2734082 -0.2790375
3.616556 7.366819 2.59126 2.460852 0.03324436
3.451452 8.315233 2.801117 1.177723 0.7967764
3.512454 7.590748 2.366187 0.6261874 -0.6012394
2.186298 8.327062 0.7722913 -0.3399917 0.2421959
4.668326 8.791982 0.9143804 -1.158689 1.362891
5.281942 9.470267 0.1504358 -1.12904 2.131899
4.47228 8.496012 0.5968266 -1.013064 3.655397
3.440961 7.688918 1.40399 -1.395198 3.539709
3.535206 8.176637 0.9502733 -1.217859 3.834856
4.129858 7.541646 -2.142048 0.03240127 2.78302
3.86426 6.55283 -1.438032 -0.3097752 0.7742937
2.002967 4.630725 1.036674 1.396478 0.9445306
2.615335 5.705385 3.118946 3.107318 -0.651318
0.4892723 6.571079 1.092745 5.036118 0.3850627
-2.41745 6.320685 1.239916 3.24936 0.6560249
-1.696649 5.12684 1.1807 2.7681 -0.3960391
-2.680073 5.256294 0.1135387 1.539786 -0.02235841
-3.777881 6.270911 -1.903963 -0.07312148 0.3050119
-2.323373 5.31855 -1.31765 0.503858 -1.096312
-2.344759 4.233981 -0.7000974 0.6363163 0.2339097
-1.296978 5.484201 -1.3672 -1.55082 -1.592171
0.681605 4.911909 -2.324781 -1.727552 -1.916195
1.621633 4.844194 -1.689613 -0.7636164 -2.072215
2.161316 5.359631 -1.624008 -0.9688042 -1.590366
2.665861 5.43553 -0.2832527 -0.05171121 -1.448344
1.712857 4.663052 -0.2188255 0.1476712 0.5951122
1.701026 4.893782 -0.517079 -2.008222 -0.2280782
0.4275845 3.493232 -0.8493642 -1.479811 1.025206
0.4306067 3.572393 -1.014152 -1.486648 1.629527
-0.7421338 4.381554 -2.397515 -2.630506 0.4358741
-0.8171443 6.607587 -0.3016638 -2.374809 1.660126
0.3457058 6.365154 0.3015953 -2.743637 2.329702
-1.824187 7.052537 0.4954304 -1.707924 1.469353
-2.924435 6.964479 0.1082394 -2.272947 0.4878393
-0.2103111 7.033557 -1.498041 -0.444605 0.9587222
-0.03407285 3.757215 -1.238118 -0.2859045 0.9505114
0.02706576 4.17024 -0.2205859 0.1666228 1.547641
-0.5194221 5.199668 -0.3652306 -0.01179679 1.341732
-2.464817 5.168558 -1.325348 0.3261922 1.312254
-0.8689208 5.512442 -0.1520292 0.8791745 1.156555
-2.556667 5.814592 -0.758051 -0.05666098 1.730338
-2.52432 5.285913 0.6113188 -1.106162 0.3017676
-4.061314 6.082734 -1.295006 -1.607421 -0.6840473
-2.512017 6.173254 -0.3169827 -2.794748 -0.3852726
-2.314547 6.209401 -0.0473983 -2.114708 0.5819918
-2.952223 5.674874 0.8317967 -1.587914 0.6236514
-3.72943 4.935579 -0.3033747 -2.168677 1.300957
-3.357946 5.593752 0.6567068 0.2852635 1.598548
-1.641345 5.084339 0.1796945 -1.661737 1.850569
-0.9472862 4.552874 0.4002479 -3.660324 1.563966
-2.53775 3.853699 0.9899121 -2.673147 -0.02579951
-2.666692 3.058617 1.815401 -2.71635 0.1226544
-3.584044 -0.2283869 -0.3300888 -0.9270956 -1.097785
-3.830457 0.1924757 -0.4051218 -1.876347 0.5855327
-4.332728 -0.07050723 0.1536997 -0.891945 -0.5600724
-2.884415 0.6776528 -1.364582 -0.2897739 0.4746742
-2.782356 1.545963 -3.689599 -2.961534 -0.7977159
-2.680152 2.512989 -2.236038 -1.395804 -2.747553
-4.189387 1.021852 -1.363058 -1.056003 -4.825894
-3.372967 0.3408842 -1.208739 -0.8802489 -4.733061
-4.139839 -0.8006055 -0.5866552 0.8044183 -4.901024
-4.086909 -0.6827469 0.4392039 1.445336 -5.498997
-2.985512 -0.1342087 1.848069 -0.6864937 -2.149681
-3.117532 1.272366 1.13161 0.1974209 -1.07464
-4.14128 2.145999 -0.2906067 0.8584329 -0.9781484
-4.917141 3.099362 0.04552104 -2.513744 -1.170618
-4.644674 4.08017 1.466973 -0.8541281 0.1710032
-3.542416 4.774915 -0.07997645 -1.985233 0.7857582
-2.563961 4.271378 -1.690522 -2.61097 2.506216
-2.147274 4.98665 -0.8586092 -1.721032 3.22212
-0.7072499 4.473243 -0.6318241 -2.536063 1.995312
-0.7927786 4.511556 -0.4438271 -3.20927 1.211512
-0.7197224 5.955706 -0.9923219 -2.594892 2.2463
1.140808 6.027622 0.1465148 -1.217925 1.411009
-0.4013657 5.521014 0.7287296 -0.9193544 1.26841
-1.106578 4.562282 2.153721 1.333778 2.703953
-3.091662 4.784495 1.527882 -0.1074123 1.842085
-3.432784 6.606313 0.8363632 0.2953129 3.222794
-3.19103 7.56467 0.7715142 0.1737841 3.433471
-3.199237 8.342271 2.181354 0.09381838 2.721374
-3.349942 8.674951 -1.244265 1.313578 2.895505
-2.764038 7.920455 -1.187389 1.73105 4.183829
-2.272153 9.245491 -0.8633996 0.938748 3.228208
0.2160414 8.740065 0.1391594 -0.1188492 2.932819
-1.221404 9.422047 0.4158878 0.7198153 1.839453
-1.826484 8.715469 -0.8006624 1.429786 2.39349
-2.23385 8.377031 -0.9705696 1.512214 3.019164
-2.924827 8.112881 0.3905095 1.264062 3.376432
-1.772419 7.506419 2.110255 1.181349 4.364079
-1.394435 5.120474 0.8820046 1.091778 2.808472
-0.4782974 3.499435 1.102042 0.3085427 0.8641908
-0.2434477 2.857792 -0.2710957 -0.009654618 0.9173649
2.348397 2.849054 -0.9826927 1.093241 1.309221
1.34713 1.943802 1.246462 0.9760859 1.342992
-0.3591914 2.241074 -0.0006725957 0.3134869 -1.179547
-1.973276 0.9157437 -1.369006 0.6521255 1.209087
-1.122152 0.05377374 0.3920046 0.5962086 1.060545
-2.538974 -0.5642257 1.052319 0.3582958 1.018584
-2.191872 0.3482216 0.03466971 -0.2408471 0.3621259
-2.120547 1.60607 0.3258438 2.559065 0.4393213
-4.104428 0.5755045 -0.9631359 1.563403 0.4191246
-3.590303 1.18499 0.5827758 3.10228 1.286296
-3.28125 1.368873 -0.5529108 0.2081995 0.5140308
-1.835901 1.870331 -0.05594479 -0.2445463 0.9979614
-1.961923 1.612047 -0.3535454 -0.4832034 -0.4476664
-0.2063606 1.196188 0.03830088 -0.1868769 0.03628283
-0.5476882 0.6001313 -0.6256772 -0.2240763 0.7478193
-0.4102683 2.1031 -0.8887871 -0.5594535 1.853589
-0.1525979 1.508873 -1.674798 -0.6515827 -0.582192
1.04071 1.188295 -0.8677013 -0.153018 -2.802061
1.460533 0.5276447 -0.4398671 1.397072 -1.497971
0.1424628 1.546191 -0.8604432 1.411653 -2.224614
-0.05454196 2.012558 -0.2878612 1.063256 -3.109781
-1.206742 0.8116729 -0.5409222 -0.6241125 -3.061485
-1.541159 0.6317718 0.3256631 0.8584485 -0.9981135
-1.800296 0.5143646 -0.04163061 0.2101534 -1.346519
-1.40169 -1.455393 0.2467409 -0.06301817 -0.9291249
-0.7466859 -0.4254555 -2.304458 -1.033752 0.01615842
-2.342824 1.662668 -3.308385 0.4070426 0.4730605
-1.29217 0.2488007 -0.7462496 -0.7632219 2.086204
-1.898539 1.863079 -2.467054 -0.3635828 1.099144
-0.800613 2.832553 -2.579064 -0.5664967 0.4019856
-0.8829724 2.492996 -2.262115 -1.807397 -0.3752101
-1.725391 0.02131166 -1.195117 0.1229761 -1.296386
-1.871826 0.01637265 -1.691275 -1.954317 -0.8924136
-2.193749 2.775619 -2.166423 -2.015757 -0.8533182
-1.657303 2.867141 -0.6736034 -2.468305 -2.807546
-2.064791 4.198234 1.252521 -0.1804451 -1.456862
-1.529073 4.13989 -0.1934495 0.1942444 -0.3934012
-0.4687759 2.856887 -1.682276 -1.269743 -0.1622125
0.5475673 3.484937 -1.969603 0.5592483 1.821319
0.4679539 4.145996 -0.908571 1.179318 0.3042561
2.054594 2.228584 -1.40864 0.1985544 -0.3318435
1.992313 1.53871 -2.075805 0.09483223 -1.218503
2.264054 2.45694 0.03913504 -1.080531 -2.040941
2.157496 3.380272 0.4312116 -1.166598 -1.237524
2.626668 3.207611 -0.2314018 -1.031528 -1.01294
2.777645 2.924435 -1.16742 -1.362249 -2.038466
2.965668 2.406025 -0.3992705 -0.5204156 -0.6583508
2.452699 4.981658 0.8541509 0.8596128 -1.744901
1.920013 5.563 -1.632111 2.097505 -2.502528
2.687065 5.844192 1.555312 1.566124 -2.719074
3.484709 6.102064 0.8186617 -0.1977778 -2.367268
3.506751 3.686026 0.3535057 1.327999 -1.201217
3.087595 1.693887 1.947198 1.313602 -1.984356
2.086654 1.090487 1.612875 2.59768 -0.4206231
2.859462 0.9790557 1.195731 1.310796 -0.8040144
3.237018 0.2075644 0.04900637 -0.02963317 -0.008934826
